ID_Article,communityId,ID_RelatedVenue,title,year,abstract
1024010,21246,9475,A compartment based model for the formation of 2-LTR circles after raltegravir intensification,2012,"Highly Active Antiretroviral Therapy (HAART) can suppress measured Human Immunodeficiency Virus (HIV) plasma viral load below the standard limits of detection in most HIV-positive patients. However it has been shown that the virus persists at undetectable levels and rebounds rapidly when the treatment is interrupted. It has been hypothesized that the virus may continue to replicate efficiently in anatomical compartments with low antiviral concentration, so called “cryptic viremia”. Recent results from an experiment measuring the dynamics of 2-LTR HIV DNA episomes following intensification with the integrase inhibitor raltegravir have provided strong support for the “cryptic viremia” hypothesis. In this paper we introduce a multi-compartment model of HIV viral dynamics including 2-LTR episome concentrations. These compartments represent an isolated anatomical location similar in structure to a lymph node, with diffusion from the plasma decreasing with distance from the plasma. We show that when the size of the compartment is sufficiently large to allow efficient replication in the most remote compartment, the dynamics of measured 2-LTR in the plasma compartment is consistent with the observed patterns in the raltegravir intensification experiment, providing support to the “cryptic viremia” hypothesis. The model presented could be adapted for use in estimating cryptic viremia dynamics from 2-LTR measurements."
1248921,21246,9475,NUROA: A numerical roadmap algorithm,2014,"Motion planning has been studied for nearly four decades now. Complete, combinatorial motion planning approaches are theoretically well-rooted with completeness guarantees but they are hard to implement. Sampling-based and heuristic methods are easy to implement and quite simple to customize but they lack completeness guarantees. Can the best of both worlds be ever achieved, particularly for mission critical applications such as robotic surgery, space explorations, and handling hazardous material? In this paper, we answer affirmatively to that question. We present a new methodology, NUROA, to numerically approximate the Canny's roadmap, which is a network of one-dimensional algebraic curves. Our algorithm encloses the roadmap with a chain of tiny boxes each of which contains a piece of the roadmap and whose connectivity captures the roadmap connectivity. It starts by enclosing the entire space with a box. In each iteration, remaining boxes are shrunk on all sides and then split into smaller sized boxes. Those boxes that are empty are detected in the shrink phase and removed. The algorithm terminates when all remaining boxes are smaller than a resolution that can be either given as input or automatically computed using root separation lower bounds. Shrink operation is cast as a polynomial optimization with semialgebraic constraints, which is in turn transformed into a (series of) semidefinite programs (SDP) using the Lasserre's approach. NUROA's success is due to fast SDP solvers. NUROA correctly captured the connectivity of multiple curves/skeletons whereas competitors such as IBEX and Realpaver failed in some cases. Since boxes are independent from one another, NUROA can be parallelized particularly on GPUs. NUROA is available as an open source package at http://nuroa.sourceforge.net/."
3005665,21246,9475,A brief and some further insight on the Exact Quadratization of nonlinear control systems,2016,"This paper aims to be, first of all, a short survey on the topic of the Exact Quadratization (EQ) of nonlinear control systems, mainly related to our article on the same subject recently issued (2015) in the SIAM Jou. on Cont. & Opt.. Secondly, it aims to yield some additional material, further improvements and new insights, not present or not enough discussed in the main σπ-systems, and a detailed description of the relationship between solutions of the original and quadratized representations."
2930582,21246,9475,Optimizing phage λ survival in a changing environment: Stochastic model predictions,2016,"Bacteriophages - viruses that infect and replicate inside bacteria - undergo rapid degradation outside their hosts. Thus, a common expectation is that phages will minimize environmental exposure by maximizing their adsorption rate, i.e., infection rate. Here we show that, while maximized adsorption is a good strategy when bacterial host cells are healthy, situations exist where bypassing hosts may be beneficial, such as when host cells are not productive for infection. In these situations, optimal adsorption rates may take on intermediate values, thereby increasing phage dispersal. We aim to develop a theoretical understanding of the intermediate, optimal adsorption rate for phage λ, in environments where changing conditions lead to either good or poor quality hosts. We develop a Markov chain model and define optimal adsorption as the adsorption rate that maximizes the probability of survival. We impose experimentally-achievable periodicity in environmental change and derive novel analytic results for the probability of phage λ survival, from which optimal adsorption is computed. We then discuss the sensitivity of the phage survival probability to relevant biological parameters and environmental conditions. Finally, we extend these results to approximate the probability of phage λ survival when environment change is random, which better represents of natural dynamics, and show that stochasticity facilitates phage λ survival in sub-optimal conditions."
861288,21246,8228,Weight based dominating set clustering algorithm for small satellite networks,2012,"Due to the size and density of small satellite networks (SSNs), the traditional clustering algorithms of large monolithic satellite networks are often limited. This paper proposes a novel distributed weight-based dominating set clustering algorithm to address the clustering problems in the stochastically deployed SSNs. Considering the unique features of small satellites, this algorithm is able to form the clusters efficiently and stably. In this algorithm, satellites are separated into different groups according to their spatial characteristics. Firstly, a minimum dominating set is chosen as the candidate cluster head set based on their weight, which is a weighted combination of residual energy and connection degree. Then the cluster heads admit new neighbors that accept their invitations into the cluster, until the maximum cluster size is reached. Evaluated by the simulation results, in a SSN with 200 to 800 nodes, the algorithm is able to efficiently cluster more than 90% of nodes in 3 seconds."
943563,21246,8441,On fixed-time performance of Lyapunov-based economic model predictive control of nonlinear systems,2013,"This work presents an algorithm for improved fixed-time performance of Lyapunov-based economic model predictive control (LEMPC) of nonlinear systems. Unlike conventional Lyapunov-based model predictive control (LMPC) schemes which typically utilize a quadratic cost function and regulate a process at a steady-state, LEMPC designs very often dictate time-varying operation to optimize an economic (typically non-quadratic) cost function. The LEMPC algorithm proposed here utilizes a shrinking prediction horizon with respect to fixed (but potentially large) operation period to ensure improved performance, measured by the desired economic cost, over conventional LMPC. Closed-loop performance improvement is guaranteed by solving an auxiliary LMPC problem and incorporating appropriate constraints, based on the LMPC solution, in the LEMPC formulation at various sampling times. The proposed LEMPC scheme also takes advantage of a predefined Lyapunov-based explicit feedback law to characterize its stability region while maintaining the closed-loop system state in an invariant set. The performance of the LEMPC algorithm is demonstrated through a nonlinear chemical process example."
2066948,21246,8441,Efficient distributed sensing using adaptive censoring based inference,2013,"In many distributed sensing applications it is likely that only a few agents will have valuable information at any given time. Since wireless communication between agents is resource-intensive, it is important to ensure that the communication effort is focused on communicating valuable information from informative agents. This paper presents communication-efficient distributed sensing algorithms that avoid network cluttering by having only agents with high Value of Information (VoI) broadcast their measurements to the network, while others censor themselves. A novel contribution of the presented distributed estimation algorithm is the use of an adaptively adjusted VoI threshold to determine which agents are informative. This adaptation enables the team to better balance between the communication cost incurred and the long-term accuracy of the estimation. Theoretical results are presented establishing the almost sure convergence of the communication cost and estimation error to zero for distributions in the exponential family. Furthermore, validation through real datasets shows that the new VoI-based algorithms can yield improved parameter estimates than those achieved by previously published hyperparameter consensus algorithms while incurring only a fraction of the communication cost."
1130554,21246,8441,Topology design in networked estimation: A generic approach,2013,"In this paper, we consider networked estimation where asymptotic consensus is replaced with only one fusion iteration between every two successive steps of system dynamics. With this restriction on the fusion, we show that the topology of the communication network plays a key role in the observability (and the error stability) of the estimator. For arbitrary system matrices, algebraic design of the communication topology is challenged with (i) large-scale computation, and (ii) particular fusion rules. To avoid these, structured systems theory and the notion of generic observability are implemented, which are computationally tractable and do not rely on exact fusion rules. We show the stability under weak network connectivity as compared to strong connectivity in the literature. In particular, we do not constrain the system matrix to be generically full rank compared to earlier works and show that for system matrices with rank deficiency (in the generic sense), implementing only state-estimate fusion does not recover the networked observability; thus, output fusion is required."
2946069,21246,9475,Exploiting models of different granularity in robust predictive control,2016,"The use of detailed models over long horizons in predictive control can be computationally challenging. Furthermore, always-present uncertainty renders the use of such sophisticated detailed models over long time horizons questionable due to the resulting variability of the trajectories. We propose a multi-stage scheme that combines the use of models of different granularity - using detailed models for short-term predictions, while performing long-term predictions with less detailed models. Using projection and invariance properties for the different model complexities and the transitions between them, we show that this scheme is recursively feasible. In a simulation study, we show how two models of different complexity can be combined for steering a mobile robot through a landscape with obstacles."
1428314,21246,8441,Trajectory-based proofs for sampled-data extremum seeking control,2013,"Extremum seeking of nonlinear systems based on a sampled-data control law is revisited. It is established that under some generic assumptions, semi-global practical asymptotically stable convergence to an extremum can be achieved. To this end, trajectory-based arguments are employed, by contrast with Lyapunov-function-type approaches in the existing literature. The proof is simpler and more straightforward; it is based on assumptions that are in general easier to verify. The proposed extremum seeking framework may encompass more general optimisation algorithms, such as those which do not admit a state-update realisation and/or Lyapunov functions. Multi-unit extremum seeking is also investigated within the context of accelerating the speed of convergence."
1162822,21246,8441,Self-scheduled and structured H ⋡ synthesis : A launch vehicle application,2013,This paper presents a new application of structured H ∞  synthesis to tune self-scheduled controllers. Newly available MATLAB-based tools allow to tune fixed-structure linear controllers while satisfying H ∞  constraints. Moreover multi-model synthesis capabilities can extend their application to self-scheduled controllers. This technique is successfully applied to the attitude control of a launch vehicle in atmospheric ascent phase.
2978731,21246,9475,Boundary observer design for hyperbolic PDE in rotary drilling systems,2016,"It is well known that vibrations in oilwell system affect the drilling directions and may be inherent for drilling systems. Further, the environment complexity requires a minimum number of sensor variables. In this paper, for an oilwell drilling system, we present an adaptive observer design for a second-order Partial Differential Equation (PDE) with the usually neglected damping term. The design relies on the top boundary measurements only. From the Lyapunov theory and the backstepping technique, we develop an observer based control law for the one dimension wave PDE. We show an exponentially vibration stability of the partially equipped oilwell drilling system. The simulation results confirm the effectiveness of the proposed PDE observer based controller."
1615940,21246,8441,Near-optimal strategies for nonlinear networked control systems using optimistic planning,2013,"We consider the scenario where a controller communicates with a general nonlinear plant via a network, and must optimize a performance index. The problem is modeled in discrete time and the admissible control inputs are constrained to belong to a finite set. Exploiting a recent optimistic planning algorithm from the artificial intelligence field, we propose two control strategies that take into account communication constraints induced by the use of the network. Both resulting algorithms have guaranteed near-optimality. In the first strategy, input sequences are transmitted to the plant at a fixed period, and we show bounded computation. In the second strategy, the algorithm decides the next transmission instant according to the last state measurement (leading to a self-triggered policy), working within a fixed computation budget. For this case, we guarantee long transmission intervals. Examples and simulation experiments are provided throughout the paper to illustrate the results."
1750932,21246,8441,Model predictive control of an overhead crane using constraint substitution,2013,This paper describes a real-time model predictive control (MPC) scheme for an overhead crane subject to state and input constraints. The constraints are taken into account by means of a transformation technique which transforms the system dynamics with the corresponding constraints into a new unconstrained representation. This method allows to reformulate the underlying optimal control problem (OCP) of the MPC scheme into an unconstrained counterpart. The unconstrained OCP is then solved by means of a fast MPC algorithm that uses a finite number of iterations per MPC step in order to ensure real-time feasibility. Simulation as well as experimental results demonstrate the computational performance of the MPC scheme.
1517649,21246,8441,Polynomial approximation of optimal event triggers for state estimation problems using SOSTOOLS,2013,"This paper uses polynomials to approximate the optimal event triggers in state estimation problems, and efficiently computes the polynomial approximation with SOSTOOLS. From the examples under study, the polynomial approximation provides a tight lower bound on the optimal cost, and a tight upper bound on the suboptimal cost. The cost generated by the polynomial suboptimal event trigger is very close to the lower bound on the optimal cost. We also apply this polynomial suboptimal event trigger to an 8 dimensional 3DOF helicopter to demonstrate that one can efficiently compute the polynomial suboptimal event triggers for highly nonlinear high dimensional systems. To our best knowledge, this is the first time the suboptimal trigger has been applied to a system whose dimension is greater than 2."
2520480,21246,8441,Event-based Green scheduling of radiant systems in buildings,2013,"This paper looks at the problem of peak power demand reduction for intermittent operation of radiant systems in buildings. Uncoordinated operation of the circulation pumps of a multi-zone hydronic radiant system can cause temporally correlated electricity demand surges when multiple pumps are activated simultaneously. Under a demand-based electricity pricing policy, this uncoordinated behavior can result in high electricity costs and expensive system operation. We have previously presented Green Scheduling with the periodic scheduling approach for reducing the peak power demand of electric radiant heating systems while maintaining indoor thermal comfort. This paper develops an event-based state feedback scheduling strategy that, unlike periodic scheduling, directly takes into account the disturbances and is thus more suitable for building systems. The effectiveness of the new strategy is demonstrated through simulation in MATLAB."
1161187,21246,8494,Consensus in networked multi-agent systems via model predictive control with horizon one,2013,"This paper addresses the problem of consensus by using the model predictive control (MPC) with horizon one. We propose centralized and distributed MPC consensus protocols, and prove that both of them asymptotically solve the consensus problem. We also give numerical examples to show that the convergence speed can be significantly increased by simply adjusting the parameter in the MPC consensus protocols."
2903828,21246,9475,The topology of D-stability,2016,The paper is devoted to the study of topological properties of different definitions of stability for polynomials.
2594859,21246,9475,On the genericity of the differential observability of controlled discrete-time systems,2008,"In this paper, we prove the genericity of the differential observability for discrete-time systems with more outputs than inputs."
2474855,21246,9475,Bilateral control with constant feedback gains for teleoperation with time varying delay,2009,This paper describes a bilateral control of nonlinear teleoperation with time varying communication delay.
135406,21246,9475,Individual risk in mean field control with application to automated demand response,2014,Flexibility of energy consumption can be harnessed for the purposes of ancillary services in a large power grid.
1203804,21246,9475,Note on a new approach for defuzzification,2002,We show by example that Definition 3 in Ming Ma (Fuzzy Sets and Systems 111 (2000) 351) is not a metric.
1965814,21246,9475,Passivity-based stabilization of non-compact sets,2007,We investigate the stabilization of closed sets for passive nonlinear systems which are contained in the zero level set of the storage function.
2642091,21246,9475,Equivalence between exact and approximate controllability for finite-dimensional quantum systems,2015,In this paper we prove that approximate and exact controllability are equivalent properties for general closed finite-dimensional quantum systems.
2354531,21246,9475,Controllability of the rotation of a quantum planar molecule,2009,"We consider the simplest model for controlling the rotation of a molecule by the action of an electric field, namely a quantum planar pendulum."
2504232,21246,9475,Squaring down of general MIMO systems to invertible uniform rank systems via pre and/or post compensators,2013,"Pre-compensators, post-compensators, and both pre and post compensators are designed to square down a general linear multivariable system to a uniform rank system."
2326332,21246,9475,High level model predictive control for plug-and-play process control with stability guaranty,2010,In this paper a method for designing a stabilizing high level model predictive controller for a hierarchical plug-and-play process is presented.
2411273,21246,9475,Global finite-time observers for non linear systems,2009,A global finite-time observer is designed for nonlinear systems which are uniformly observable and globally Lipschitz. This result is based on a high-gain approach.
2700963,21246,9475,A sufficient condition for decentralized non-cooperative stochastic differential games and relations to mean field games,2015,In this paper we use martingale techniques to derive a sufficient condition for existence of decentralized strategies in non-cooperative stochastic differential games.
1455677,21246,9475,A decentralized control technique for vehicle chassis control,2011,We present a decentralised control design that is based upon the Kalman-Yakubovich-Popov lemma. We use our technique to design an integrated chassis controller.
2287593,21246,9475,"Retrospective cost adaptive control for nonminimum-phase discrete-time systems, part 2: The adaptive controller and stability analysis",2010,"This paper is the second part of a pair of papers, which together present a direct adaptive controller for discrete-time systems that are possibly nonminimum phase."
2053514,21246,9475,Almost invariant subspaces: -High gain feedback? or -singularly perturbed feedback?,2008,We show that almost controllability can be also obtained by means of singularly perturbed state feedbacks which are approximations of proportional and derivative (PD) state feedbacks.
1020735,21246,9475,A globally asymptotically stable polynomial vector field with no polynomial Lyapunov function,2011,"We give a simple, explicit example of a two-dimensional polynomial vector field that is globally asymptotically stable but does not admit a polynomial Lyapunov function."
966465,21246,9475,Monitoring and fault detection in a reverse osmosis plant using principal component analysis,2011,This paper presents a monitoring and fault detection system based on principal component analysis techniques (PCA) for a simulated reverse osmosis desalination plant.
1923182,21246,9475,Implicit systems reachability: A geometric point of view,2009,In this paper we have given a geometric interpretation of the implicit systems reachability Theorem of Frankowska [6]. This interpretation enables us to have a better understanding of the existing mechanisms in the linear implicit systems reachability.
1179199,21246,9475,A weak version of the small-gain theorem,2012,A weak version of the small-gain theorem is derived. Connections with the classical linear and nonlinear small-gain conditions are established. The necessity of the weak small-gain conditions is discussed.
2441756,21246,9475,Optimal control for combination therapy in cancer,2008,A mathematical model for the scheduling of angiogenic inhibitors in combination with a killing agent is considered as an optimal control problem. Initial results on the structure of optimal controls are derived.
1206902,21246,9475,Another look at strong invariance on stratified domains,2014,"We consider proving the strong invariance property for stratified control systems. The difficulty lies in that the dynamics are not locally Lipschitz, but they have a structure that can be exploited to characterize trajectories."
1624646,21246,9475,Stability of interconnected thermodynamic systems,2011,"In this paper, a formulation of thermodynamic systems in terms of contact geometry is proposed and a systematic approach to the description of interconnected thermodynamic systems is developed. The paper presents a number of results on the stability of interconnected thermodynamic systems."
929111,21246,9475,Feedback stabilisation of locally controllable systems,2011,"It is shown that, for real analytic control systems, small-time local controllability from an equilibrium implies the existence of a locally asymptotically stabilising piecewise analytic feedback."
1957571,21246,9475,Exponential convergence of nonlinear Luenberger observers,2010,"In this paper, it is shown that under an extra observability assumption the nonlinear Luenberger observer as introduced recently in a previous publication may have an exponential convergence towards the state of the system."
837486,21246,9475,Sufficient conditions for complexity reduction in min-max control of constrained uncertain linear systems,2012,In this paper we consider finite-time min-max optimization problems for linear systems with additive disturbances subject to hard input constraints and soft state constraints.
2451351,21246,9475,Balanced-force-control of underactuated thrust-propelled vehicles,2007,"The paper sets the basics of a control framework for underactuated thrust-propelled vehicles immersed in a fluid, with the objective of stabilizing reference trajectories either in velocity or in position."
2436870,21246,9475,Asymptotic tracking of a state trajectory by output-feedback for a class of non linear systems,2007,We consider the problem of tracking a reference trajectory with an output feedback for a class of nonlinear systems. We solve this problem by combining the techniques of dynamic scaling and homogeneity in the bi-limit.
1088843,21246,9475,A regularity theorem for minimizers of real-analytic subriemannian metrics,2014,"We prove, for real-analytic subriemannian metrics, that if a trajectory parametrized by arc-length is an arc-length minimizer, then the trajectory is real-analytic on an open dense subset of its interval of definition."
2425329,21246,9475,On ergodic properties of degenerate hybrid stochastic control systems,2010,"For switching diffusion systems with a homogeneous closed-loop control we establish existence and uniqueness of solution of the equation, and rate of convergence to the stationary regime, as well as mixing rate."
2009296,21246,9475,On computing the inverse of a rational matrix,2009,"In this paper, we develop a method for computing the inverse of a rational or polynomial matrix via Wolovich's Structure Theorem. By using Leverrier's algorithm with the above result, the inverse can be obtained using only arithmetic operations."
1653780,21246,9475,Robustness of ℒ 1 adaptive controllers in the gap metric in the presence of nonzero initialization,2010,This paper derives the robust stability margin of ℒ 1  adaptive controller in the gap metric for the case of nonzero initialization. We use the notion of biased-gain stability to obtain a computable robust stability margin of ℒ 1  adaptive controller in gap metric.
1664337,21246,9475,Almost global asymptotic stability of a constant field current synchronous machine connected to an infinite bus,2014,"We derive conditions for the almost global asymptotic stability of a system, modeling a constant rotor current synchronous generator connected to an infinite bus, in terms of the system parameters."
1018599,21246,9475,A LaSalle version of Matrosov theorem,2011,"A weak version of Matrosov theorem, in the spirit of LaSalle invariance principle, is established. The result is clarified by means of two examples. The case of nested-Matrosov theorem is also discussed."
1236820,21246,9475,Improved patchy solution to the Hamilton-Jacobi-Bellman equations,2010,"We test a new patch type for the patchy approximate solution to the Hamilton-Jacobi-Bellman equations, and we see an improvement in the worst relative error on a nonlinear test problem."
2155820,21246,9475,Vector-valued hyperbolic system and applications to the complex networks of strings,2009,"In this note, we firstly recall the main results in [1] and their brief proofs. As applications of the results, we study the control problem of the general networks of strings. Some new examples of networks of strings with circuits are given."
2096554,21246,9475,Robustness analysis of nonlinear systems with feedback linearizing control,2013,"Based on the nonlinear gap metric robustness analysis, a study is undertaken for nonlinear systems with input-output linearizing controllers to derive and validate theoretical robustness and performance margins for these systems."
2096873,21246,9475,Regularity properties of optimal control in a problem with mixed and pure state constraints,2010,In this paper we report conditions ensuring Lipschitz continuity of optimal control and Lagrange multipliers for a dynamic optimization problem with inequality pure state and mixed state-control constraints.
1641965,21246,9475,Averaging for nonlinear systems on Riemannian manifolds,2013,This paper provides a derivation of the averaging methods for nonlinear time-varying dynamical systems defined on Riemannian manifolds. We extend the results on ℝ n  to Riemannian manifolds by employing the language of differential geometry.
