ID_Article,communityId,ID_RelatedVenue,title,year,abstract
3052207,20178,369,Green Cellular Demand Control with User-in-the-Loop Enabled by Smart Data Pricing Using an Effective Quantum (eBit) Tariff,2016,"Mobile communications demand for data grows almost two-fold every year and cellular capacity cannot catch up with this in every location and at every point in time. Not only will congestion situations appear more frequently and severely, but also every increase of data transmitted and every new infrastructure point rolled out in order to catch up with that demand is going to consume more total power. One approach towards greener communication is to reduce the actual demand. While technical solutions on Open Systems Interconnection (OSI) layers 1 trough 7 are already being exploited, layer 8, the user, is the original cause of the exploding demand. It is naive to assume that all data is equally important and valuable. User-in-the-loop (UIL) is a paradigm which can exactly hook in at this point, and it suggests to postpone, relocate, abandon or offload less urgent demand by immediate feedback and strong incentives like discounts and penalties in certain situations (in case of congestion). In particular, this means dynamic prices depending on time, location, and congestion (load) status, similar to smart grid for electricity utilities. Accounting and billing with dynamic prices, value-added services, and smart data pricing can be a challenge, and such accounting and billing are utterly incompatible with the flat-rate (all-you-can-consume) concept. However, cellular customers are involuntarily locked into contracts, but it is the current practice in the market, which is not in accordance with the free market spirit. Flat-rate plans are practically dead, but those still luring with this name, while having caps on the maximum allowance, sell fixed-volume packages under a smoother name instead. Ultimately, we need to re-establish usage-based-pricing as a fairer and more favourable way of charging. In this paper we motivate the dynamic pricing of UIL and the upcoming new need for usage-based tariffs. We compare a few status-quo tariff plans with our novel effective quantum (eBit) tariff, which is a usage-based pricing that maps multiple usage dimensions into only one metric, eBits. The eBits will be charged for with one constant unit price dollars/eBit to give the monthly bill. All Quality of Service (QoS)-, application-, and time-dependent dynamic pricing factors are integrated into the effective quantum, so that a user can easily understand his current consumption and the bill upto that point in time. Price differentiation per QoS class is easy with constant scaling factors. %This enables smart data pricing to be easily understood by the consumers. This principle can be extended to any other chargeable metric such as kWh of electricity and m^3 of water. This ultimately enables going greener and training awareness of all consumers."
2847777,20178,369,Synthesis of Radiation Patterns in Arbitrary Geometry Antenna Arrays,2016,"A novel algorithm is presented for determining the complex excitations in antenna arrays that are required to have a standard or a non-standard power pattern and where the individual antennas can have arbitrary locations and arbitrary patterns. The technique is simple and overcomes many of the disadvantages of traditional approaches such as those based on stochastic optimisation or least squares formulations. Our approach is iterative and involves repeatedly finding and reducing the peak pattern error. The method is particularly suited to large arrays with severe requirements such as those involving multiple beams with a mix of wide-angle flat-top and narrow regions, multiple attenuation zones with different specifications as well as shaped transition regions. Examples are presented demonstrating the effectiveness of the method."
3007663,20178,369,R-OFDM Transmission Scheme for Visible Light Communication Using RGBA-LED,2016,"White light-emitting diode (LED) consisting of red, green, blue, and amber chips (RGBA-LED) has recently been adopted as transmitter in visible light communication (VLC) systems. This paper proposed a reshaped orthogonal frequency division multiplexing (R- OFDM) scheme for RGBA-LED-based VLC systems. In the R- OFDM, the signal is adjusted by separation and biasing after clipping (BAC) operations for transmitting in RGBA-LED. Then, the biasing factor of BAC is derived according to the color mix ratio (CMR) of RGBA-LED. At the receiver, We develop a direct detection algorithm to recover the original data, and analyze its the theoretical bit error rate (BER). Furthermore, a lower bound of the BER is analyzed under high clipping ratio (CR) by using SNR upper bound. Finally, simulation results confirm our theoretical analysis and verify that R-OFDM outperforms the ACO-OFDM in term of BER."
2875774,20178,369,A Study on Channel Modeling in Tunnel Scenario Based on Propagation-Graph Theory,2016,"A new approach based on conventional propagation graph channel modeling was proposed to haracterize the wireless channel in non-light of sight (NLOS) tunnel scenarios. The scattering points are regarded as several points sets, which are different from the propagation-graph theory, then the transfer probability among sets is introduced to adjust the channel impulse response (CIR) taps. The advantage of the proposed method is that wideband channel coefficients, CIR in delay, antennas' correlation coefficient, angle of arrival (AOA), angle of departure (AOD), channel capacity can be calculated analytically for these environments. The validation of the proposed method is performed by the reasonable distribution of the CIR taps, AOD and AOA. Finally some works are done to investigate the variation of tunnel channel coefficients when tunnel bending angle varies, and channel matrix degradation is adopted to explain it."
3107243,20178,369,Indoor Channel Measurements Using a 28GHz multi-Beam MIMO Prototype,2016,"Millimeter-wave (mmW) wireless is as a promising technology for meeting the Gigabit rate and low latency requirements of emerging fixed and mobile 5G applications. This is enabled by the large (GHz) bandwidths and high-gain beamforming due to high-dimensional antenna arrays possible at mmW frequencies. Initial propagation measurements underscore the highly directional nature of mmW communication, dominated by line-of-sight and single-bounce multipath, making beamforming a critical operational functionality. However, existing channel measurements are limited to mechanically pointed horn antennas and single-beam phased arrays of moderate sizes. On the other hand, multi-beam operation is necessary for spatial multiplexing. In this paper, we introduce a new measurement methodology and initial results based on beamspace MIMO channel modeling and communication. The measurement results are based on a novel beamspace MIMO prototype system that uses a lens array for analog beamforming and enables, for the first time, simultaneous multi- beam channel measurements with a beamwidth of about 4 degrees equivalent to that of a two- dimensional array with 636 critically spaced elements. Initial indoor channel measurements follow Friis formula for pathloss, and illustrate the new beamspace channel measurement and modeling methodology."
3007468,20178,369,Effective Beam Alignment Algorithm for Low Cost Millimeter Wave Communication,2016,"The large unlicensed bandwidths in mmW bands promise to satisfy the need for higher throughput in cellular systems. At these frequency bands, the free space path loss have to be mitigated by utilizing directional antennas. However, RF hardware face more difficulties compared to lower frequency bands due to implementation impairments and costs. Thus antenna arrays with one RF chain and limited beam-steering capabilities are commonly used in reality, limiting the degree of freedom for beam-alignment algorithms.Scalable beamwidth in order to use IEEE 802.11ad algorithms is not realizable in some hardware setups. Therefore, a beam searching algorithm with non-scalable beamwidth is presented. To the best of the author's knowledge, existing algorithm rarely consider these restrictions except the well-known exhaustive beam searching. This paper proposes a novel approach, which can reduce the amount of required iterations for the beam searching procedure significantly compared to exhaustive search."
2927116,20178,369,Coverage and Capacity Analysis of LTE-M and NB-IoT in a Rural Area,2016,"The 3GPP has introduced the LTE-M and NB-IoT User Equipment categories and made amendments to LTE release 13 to support the cellular Internet of Things. The contribution of this paper is to analyze the coverage probability, the number of supported devices, and the device battery life in networks equipped with either of the newly standardized technologies. The study is made for a site specific network deployment of a Danish operator, and the simulation is calibrated using drive test measurements. The results show that LTE-M can provide coverage for 99.9 % of outdoor and indoor devices, if the latter is experiencing 10 dB additional loss. However, for deep indoor users NB-IoT is required and provides coverage for about 95 % of the users. The cost is support for more than 10 times fewer devices and a 2-6 times higher device power consumption. Thus both LTE-M and NB- IoT provide extended support for the cellular Internet of Things, but with different trade- offs."
3040736,20178,369,Resource Scheduling for Content Downloading Network with D2D Support,2016,"We consider the muti-user muti-content downloading service with the help of idle users working as contents servers in device-to-device (D2D) underlay network. Taking the contents distribution into account, we propose a hybrid transmitting strategy and investigate the performance enhancement it brings about. Then by formulating the helper finding and resource allocation as a minimum downloading time problem, we propose a low complexity scheme to determine: (1) the idle user which should serve as helper for each downloader through D2D underlay communication (2) the cellular user which shares the uplink resource with less interference. Numerical simulations show that the strategy of taking contents distribution into account can bring significant performance gain. And our proposed scheme is presented to have near optimal performance, especially works well when the contents reuse rate is high."
3020915,20178,369,Performance Evaluation of NB-IoT Coverage,2016,"Narrowband Internet of Things (NB-IoT) is a new radio access technology, recently standardized in 3GPP to enable support for IoT devices. NB-IoT offers a range of flexible deployment options and provides improved coverage and support for a massive number of devices within a cell. In this paper, we provide a detailed evaluation of the coverage performance of NBIoT and show that it achieves a coverage enhancement of up to 20 dB when compared with existing LTE technology."
3041008,20178,369,Propagation Characteristics of Suburban Environments Using Hybrid Ray-Tracing Simulation,2016,"In this paper, we analyze a 28 GHz suburban channel using a hybrid ray-tracing simulation. Hybrid ray-tracing technique is a combination of image method and shooting-and-bouncing rays (SBR) method. The SBR method finds a rough propagation path and the image method predicts the exact propagation path. The hybrid ray-tracing simulation is compared with a measurement campaign conducted in Wolpyeong-dong, Daejeon, Korea, and its performance is verified. The transmitter is placed on a 29m building; the heights of the other buildings are between 10m and 12m. Based on a reasonable agreement between the results of ray-tracing and the measurement results, five streets of Wolpyeong-dong were analyzed using ray-tracing simulation. The path loss, power delay profile, root mean square delay spread, angle of arrival and angular spread were obtained."
